City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.74,overcast clouds,-23.1203,-134.9692,People ThankYou
2,Atar,MR,80.65,overcast clouds,20.5169,-13.0499,Oumou Elghoura
9,Kudahuvadhoo,MV,81.88,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
10,Yeppoon,AU,78.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
13,Vanimo,PG,77.9,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
16,Pacifica,US,80.67,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
19,Vaini,TO,71.76,moderate rain,-21.2,-175.2,Keleti Beach Resort
23,Dingle,PH,75.83,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
26,Gunjur,GM,82.47,overcast clouds,13.2019,-16.7339,"Gunjur, dalabaa lodge"
37,Kapaa,US,81.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Umm Lajj,SA,83.53,clear sky,25.0213,37.2685,Moon light Furnished Units
40,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
42,Sibu,MY,73.96,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
43,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
44,Wanning,CN,76.03,overcast clouds,18.8003,110.3967,Paradise Hotel
45,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
50,Necochea,AR,86.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
51,Phalaborwa,ZA,72.68,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
52,Atuona,PF,77.88,few clouds,-9.8,-139.0333,Villa Enata
60,Koumac,NC,76.33,clear sky,-20.5667,164.2833,Le Monitel
63,Ranong,TH,78.67,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
66,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
73,Zambezi,ZM,70.95,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
75,Souillac,MU,72.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
76,Sur,OM,77.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
77,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Waingapu,ID,79.93,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
85,San Patricio,US,82.92,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
91,Gourcy,BF,88.29,broken clouds,13.2167,-2.35,Auberge Gourcy
94,Impfondo,CG,71.08,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
97,Hilo,US,79.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
107,Comodoro Rivadavia,AR,75.06,few clouds,-45.8667,-67.5,Austral Hotel
113,Bardiyah,LY,71.55,overcast clouds,31.7561,25.0865,بورتو بردية
