City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,75.74,77,100,18.41,overcast clouds
1,Port Alfred,ZA,-33.5906,26.891,62.69,80,88,13.35,overcast clouds
2,Atar,MR,20.5169,-13.0499,80.65,45,100,4.59,overcast clouds
3,Albany,US,42.6001,-73.9662,54.25,66,20,1.01,few clouds
4,Asosa,ET,10.0667,34.5333,61.47,81,9,4.54,clear sky
5,Provideniya,RU,64.3833,-173.3,11.43,73,75,2.73,broken clouds
6,Chokurdakh,RU,70.6333,147.9167,-15.57,98,100,3.38,overcast clouds
7,Dundee,GB,56.5,-2.9667,46.89,95,75,9.22,broken clouds
8,Zhigansk,RU,66.7697,123.3711,-7.73,100,98,1.07,overcast clouds
9,Kudahuvadhoo,MV,2.6708,72.8944,81.88,76,99,10.58,overcast clouds
10,Yeppoon,AU,-23.1333,150.7333,78.58,75,46,5.86,scattered clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,88,90,10.36,light intensity drizzle
12,Aripuana,BR,-9.1667,-60.6333,86.31,55,98,0.16,overcast clouds
13,Vanimo,PG,-2.6741,141.3028,77.9,89,97,3.91,overcast clouds
14,Jamestown,US,42.097,-79.2353,49.32,99,90,7.0,moderate rain
15,Saint Anthony,US,45.0205,-93.218,59.31,57,1,1.99,clear sky
16,Pacifica,US,37.6138,-122.4869,80.67,80,20,4.61,few clouds
17,New Norfolk,AU,-42.7826,147.0587,47.71,71,45,3.33,scattered clouds
18,San Vicente,AR,-26.6167,-54.1333,63.12,92,86,7.54,overcast clouds
19,Vaini,TO,-21.2,-175.2,71.76,100,90,8.05,moderate rain
20,Hearst,CA,49.6835,-83.6665,48.45,89,100,5.37,overcast clouds
21,Codrington,AU,-38.2667,141.9667,45.36,78,62,9.31,broken clouds
22,Ushuaia,AR,-54.8,-68.3,49.62,46,20,25.32,few clouds
23,Dingle,PH,10.9995,122.6711,75.83,91,81,8.55,broken clouds
24,Barrow,US,71.2906,-156.7887,1.42,71,1,12.66,clear sky
25,Hermanus,ZA,-34.4187,19.2345,61.9,89,9,5.12,clear sky
26,Gunjur,GM,13.2019,-16.7339,82.47,78,100,4.61,overcast clouds
27,Udala,ES,43.0778,-2.5125,60.01,92,100,8.5,overcast clouds
28,Bredasdorp,ZA,-34.5322,20.0403,60.28,88,8,6.91,clear sky
29,Saldanha,ZA,-33.0117,17.9442,62.65,91,0,9.04,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,50.11,43,40,23.02,scattered clouds
31,Hobart,AU,-42.8794,147.3294,48.06,71,75,3.0,broken clouds
32,Cape Town,ZA,-33.9258,18.4232,65.08,82,75,1.01,broken clouds
33,Roswell,US,34.0232,-84.3616,54.01,92,90,1.01,light rain
34,Warrnambool,AU,-38.3833,142.4833,48.36,73,59,13.82,broken clouds
35,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,3.44,light snow
36,Ussel,FR,45.55,2.3167,49.73,90,100,6.46,overcast clouds
37,Kapaa,US,22.0752,-159.319,81.19,84,40,3.0,scattered clouds
38,Umm Lajj,SA,25.0213,37.2685,83.53,45,0,4.47,clear sky
39,Mataura,NZ,-46.1927,168.8643,60.96,65,75,5.37,broken clouds
40,Hithadhoo,MV,-0.6,73.0833,83.21,74,100,13.27,overcast clouds
41,Saint-Philippe,RE,-21.3585,55.7679,69.48,80,42,8.55,scattered clouds
42,Sibu,MY,2.3,111.8167,73.96,99,100,2.13,overcast clouds
43,Avarua,CK,-21.2078,-159.775,77.05,65,75,13.8,broken clouds
44,Wanning,CN,18.8003,110.3967,76.03,91,100,7.81,overcast clouds
45,Ponta Do Sol,PT,32.6667,-17.1,70.72,73,79,9.69,broken clouds
46,Nikolskoye,RU,59.7035,30.7861,51.87,86,100,7.96,overcast clouds
47,Rocha,UY,-34.4833,-54.3333,69.06,74,1,13.09,clear sky
48,Bluff,NZ,-46.6,168.3333,56.71,76,94,5.1,overcast clouds
49,Busselton,AU,-33.65,115.3333,42.04,83,7,7.94,clear sky
50,Necochea,AR,-38.5473,-58.7368,86.04,39,61,14.09,broken clouds
